Vehicle ID,Lane,Frame,Timestamp
2172,1,4951,00:02:45
2178,1,4955,00:02:45
2179,2,4958,00:02:45
2181,1,4961,00:02:45
2188,2,4971,00:02:45
2192,2,4980,00:02:45
2108,1,4995,00:02:46
2101,1,4997,00:02:46
2220,1,5032,00:02:47
2139,1,5039,00:02:47
2228,2,5061,00:02:48
2239,2,5062,00:02:48
2196,1,5076,00:02:49
2251,2,5080,00:02:49
2244,3,5084,00:02:49
2258,2,5089,00:02:49
2174,1,5092,00:02:49
2207,1,5109,00:02:50
2266,1,5111,00:02:50
2281,1,5125,00:02:50
2290,1,5142,00:02:51
2212,2,5151,00:02:51
2299,1,5160,00:02:51
2296,1,5173,00:02:52
2286,1,5192,00:02:53
2322,1,5194,00:02:53
2330,2,5207,00:02:53
2307,2,5216,00:02:53
2336,1,5224,00:02:54
2341,1,5238,00:02:54
2353,1,5258,00:02:55
2367,1,5280,00:02:55
2380,1,5299,00:02:56
2382,1,5303,00:02:56
2326,2,5308,00:02:56
2388,2,5311,00:02:57
2378,1,5326,00:02:57
2393,1,5327,00:02:57
2377,1,5335,00:02:57
2402,1,5338,00:02:57
2404,1,5343,00:02:58
2407,2,5346,00:02:58
2409,2,5349,00:02:58
2410,1,5350,00:02:58
2414,1,5365,00:02:58
2426,1,5384,00:02:59
2433,2,5390,00:02:59
2343,1,5390,00:02:59
2434,1,5391,00:02:59
2421,3,5399,00:02:59
2321,2,5400,00:02:59
2444,2,5401,00:03:00
2449,1,5403,00:03:00
2448,3,5403,00:03:00
2461,2,5411,00:03:00
2466,1,5418,00:03:00
2475,2,5426,00:03:00
2479,2,5430,00:03:00
2486,2,5438,00:03:01
2489,1,5441,00:03:01
2485,2,5441,00:03:01
2491,1,5444,00:03:01
2498,2,5450,00:03:01
2500,2,5454,00:03:01
2497,1,5457,00:03:01
2508,2,5463,00:03:02
2510,1,5468,00:03:02
2516,2,5472,00:03:02
2506,2,5477,00:03:02
2521,2,5478,00:03:02
2530,1,5515,00:03:03
2544,2,5516,00:03:03
2464,1,5522,00:03:04
2553,2,5557,00:03:05
2478,1,5557,00:03:05
2594,2,5615,00:03:07
2613,1,5622,00:03:07
2555,1,5624,00:03:07
2622,2,5633,00:03:07
2641,1,5654,00:03:08
2599,1,5662,00:03:08
2639,1,5668,00:03:08
2656,3,5697,00:03:09
2687,1,5734,00:03:11
2682,1,5742,00:03:11
2696,1,5747,00:03:11
2701,1,5754,00:03:11
2715,1,5772,00:03:12
2723,1,5787,00:03:12
2726,1,5791,00:03:13
2648,1,5798,00:03:13
2731,1,5801,00:03:13
2732,1,5803,00:03:13
2722,2,5827,00:03:14
2751,2,5832,00:03:14
2733,1,5843,00:03:14
2759,1,5844,00:03:14
2762,1,5846,00:03:14
2761,3,5847,00:03:14
2765,3,5849,00:03:14
2770,2,5856,00:03:15
2771,3,5858,00:03:15
2772,2,5862,00:03:15
2782,3,5876,00:03:15
2786,2,5881,00:03:16
2796,1,5895,00:03:16
2794,3,5897,00:03:16
2707,1,5918,00:03:17
2815,3,5922,00:03:17
2821,2,5928,00:03:17
